Txn Date,Description,Debit,category
27 Dec 2021,flipkart,699.00,shopping
31 Dec 2021,Flipkart,188.00,shopping
5 Feb 2022,DHRUVIMG,110.00,bills
7 Feb 2022,McDonalds,164.00,food
13 Mar 2022,airtel,479.00,bills
13 Mar 2022,Flipkart,"1,909.00",shopping
25 Mar 2022,IRCTCWe,196.80,travel
26 Mar 2022,NoviDigi,899.00,bills
3 Apr 2022,AirtelH,148.00,bills
4 Apr 2022,TATASKY,100.00,bills
6 Apr 2022,Dominos,863.00,food
8 Apr 2022,Arvind,160.00,bills
8 Apr 2022,RUTVIKH,865.00,bills
9 Apr 2022,yatraonl,608.10,travel
12 Apr 2022,AMAZONPA,174.00,shopping
18 Apr 2022,Flipkart,"1,323.00",shopping
28 Apr 2022,YULUBIKES,224.00,travel
28 Apr 2022,YULUBIKES,36.96,travel
28 Apr 2022,YULUBIKES,189.00,travel
3 May 2022,EatSure,173.00,food
4 May 2022,Swiggy,171.00,food
6 May 2022,VOGO,635.00,travel
7 May 2022,VINAYAK,240.00,bills
7 May 2022,BHARGAVI,55.00,bills
9 May 2022,tatacliq,"1,014.00",shopping
11 May 2022,TATASKY,100.00,bills
12 May 2022,DOMINOS,889.04,food
14 May 2022,EatSure,652.00,food
14 May 2022,ZomatoLtd,301.33,food
16 May 2022,Sanghvi,99.00,bills
16 May 2022,AMAZONPA,313.00,shopping
18 May 2022,EatSure,299.00,food
19 May 2022,EatSure,351.00,food
26 May 2022,ZomatoLtd,417.62,food
26 May 2022,EatSure,281.00,food
3 Aug 2020,TAVIJA,10.00,bills
20 Aug 2020,TATASKY,100.00,bills
26 Aug 2020,TATASKY,100.00,bills
27 Oct 2020,AmoghPe,198.50,bills
29 Oct 2020,RUTVIKH,30.00,bills
31 Oct 2020,TATASKY,100.00,bills
6 Nov 2020,TATASKY,100.00,bills
7 Nov 2020,AMAZON,500.00,shopping
15 Nov 2020,flipkart,799.00,shopping
4 Dec 2020,Flipkart,618.00,shopping
22 Dec 2020,TATASKY,100.00,bills
28 Dec 2020,TATASKY,100.00,bills
3 Jan 2021,TATASKY,100.00,bills
10 Jan 2021,TATASKY,100.00,bills
14 Mar 2021,IRCTCWe,221.80,travel
31 Mar 2021,IRCTCWe,221.80,travel
